time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-06T18:49:56.400Z,40.3715,-124.2568333,23.47,2.71,md,29,111,0.0521,0.18,nc,nc73266390,2019-09-17T03:12:03.471Z,"6km NNE of Petrolia, CA",earthquake,0.66,0.58,0.206,36,reviewed,nc,nc
2019-08-26T12:50:11.400Z,40.3083333,-124.645,20,2.56,md,35,235,0.2321,0.17,nc,nc73259375,2019-08-28T06:04:03.831Z,"31km W of Petrolia, CA",earthquake,0.48,0.36,0.128,26,reviewed,nc,nc
2019-08-23T18:20:45.750Z,40.3316667,-124.6136667,23.3,2.51,md,28,237,0.2117,0.18,nc,nc73257035,2019-08-28T03:48:02.752Z,"28km W of Petrolia, CA",earthquake,0.65,0.59,0.173,20,reviewed,nc,nc
2019-08-23T16:21:33.300Z,40.3246667,-124.6958333,19.98,2.53,md,29,243,0.2725,0.19,nc,nc73256975,2019-08-28T01:26:03.431Z,"35km W of Petrolia, CA",earthquake,1.51,0.96,0.117,18,reviewed,nc,nc
2019-08-23T06:06:54.970Z,40.9813333,-124.989,24.35,2.84,md,30,240,0.6417,0.16,nc,nc73256750,2019-08-28T03:33:05.167Z,"72km WNW of Bayview, CA",earthquake,1.14,11.7,0.257,23,reviewed,nc,nc
2019-08-23T03:31:36.404Z,40.4095,-126.8028,10,3.3,ml,,228,1.882,1.03,us,us700057el,2019-11-08T22:13:42.040Z,"216km W of Ferndale, California",earthquake,5.1,2,0.042,75,reviewed,us,us
2019-08-11T01:48:13.440Z,40.1108333,-125.1305,9.63,2.61,md,13,336,0.629,0.16,nc,nc73247166,2019-08-14T02:38:03.393Z,"76km WSW of Petrolia, CA",earthquake,3.26,3.56,0.142,25,reviewed,nc,nc
2019-08-11T01:41:32.540Z,40.4143333,-125.199,-0.17,2.91,md,52,242,0.6603,0.24,nc,nc73247146,2019-10-29T20:33:57.040Z,"78km W of Petrolia, CA",earthquake,1.78,8.17,0.179,41,reviewed,nc,nc
2019-08-08T16:53:29.400Z,40.4121667,-125.606,23.09,2.93,md,20,303,0.9702,0.28,nc,nc73244886,2019-08-10T05:43:42.358Z,"112km W of Petrolia, CA",earthquake,6.14,23.76,0.122,33,reviewed,nc,nc
2019-08-05T03:44:33.690Z,40.4076667,-125.1515,5.34,2.67,md,20,306,0.6296,0.21,nc,nc73242546,2019-08-07T04:30:02.735Z,"74km W of Petrolia, CA",earthquake,1.48,1.03,0.176,36,reviewed,nc,nc
2019-08-04T04:54:21.760Z,40.1855,-125.1586667,6.92,2.68,md,7,340,0.6331,0.1,nc,nc73241901,2020-02-26T00:21:35.006Z,"76km WSW of Petrolia, CA",earthquake,3.21,1.61,0.142,32,reviewed,nc,nc
2019-08-03T18:54:00.510Z,40.3233333,-124.6653333,16.94,2.69,md,33,249,0.2493,0.19,nc,nc73241661,2019-08-08T22:05:02.985Z,"32km W of Petrolia, CA",earthquake,1.08,0.62,0.159,43,reviewed,nc,nc
2019-08-02T10:55:28.660Z,41.6158333,-125.2933333,15.48,2.55,md,23,261,0.9523,0.22,nc,nc73240731,2019-08-03T03:32:02.270Z,"92km W of Crescent City, CA",earthquake,2.79,5.12,0.167,18,reviewed,nc,nc
2019-08-02T01:41:00.660Z,40.4201667,-124.719,25.3,2.51,md,20,280,0.2964,0.09,nc,nc73240421,2019-08-07T02:18:02.525Z,"38km WNW of Petrolia, CA",earthquake,1.08,3.07,0.143,12,reviewed,nc,nc
2019-07-31T18:15:15.170Z,40.3888333,-124.8305,20.82,2.77,md,55,232,0.3862,0.14,nc,nc73239501,2019-08-01T07:12:03.337Z,"47km W of Petrolia, CA",earthquake,0.93,0.75,0.166,50,reviewed,nc,nc
2019-07-31T12:26:16.180Z,40.3406667,-124.4256667,27.39,3.35,mw,25,250,0.0822,0.15,nc,nc73239366,2019-10-19T21:42:01.040Z,"12km W of Petrolia, CA",earthquake,0.99,0.57,,4,reviewed,nc,nc
2019-07-31T05:13:10.850Z,41.7436667,-124.0206667,33.72,2.5,ml,8,99,0.1318,0.09,nc,nc73239111,2019-07-31T19:10:03.185Z,"12km E of Bertsch-Oceanview, CA",earthquake,0.63,0.62,0.202,13,reviewed,nc,nc
2019-07-30T23:22:38.780Z,40.3903333,-125.2731667,23.97,2.81,md,16,249,0.7185,0.15,nc,nc73238851,2019-07-31T04:40:02.315Z,"84km W of Petrolia, CA",earthquake,1.29,31.61,0.162,19,reviewed,nc,nc
2019-07-28T21:53:48.880Z,40.3543333,-124.5393333,25.03,2.73,md,32,241,0.1642,0.12,nc,nc73237091,2019-08-01T06:57:05.244Z,"22km W of Petrolia, CA",earthquake,0.49,0.49,0.135,46,reviewed,nc,nc
2019-07-23T03:53:49.630Z,41.2541667,-124.7305,21.5,2.84,md,36,208,0.5422,0.16,nc,nc73232376,2019-07-28T23:12:38.170Z,"54km WNW of Trinidad, CA",earthquake,0.71,15.83,0.197,56,reviewed,nc,nc
2019-07-22T18:59:22.310Z,39.9836667,-125.6798333,9.95,2.65,ml,9,346,1.069,0.39,nc,nc73232036,2019-07-23T05:03:04.448Z,"124km WSW of Petrolia, CA",earthquake,10.09,31.61,0.113,8,reviewed,nc,nc
2019-07-22T17:08:55.410Z,40.7413333,-125.0241667,22.64,3.74,mw,62,236,0.5863,0.15,nc,nc73231951,2019-10-04T16:37:37.040Z,"67km WNW of Ferndale, CA",earthquake,1.07,4.94,,4,reviewed,nc,nc
2019-07-19T17:41:16.710Z,40.2926667,-124.6091667,18.17,2.68,md,47,233,0.204,0.18,nc,nc73229031,2019-07-20T04:28:04.246Z,"28km W of Petrolia, CA",earthquake,0.74,0.26,0.179,42,reviewed,nc,nc
2019-07-18T10:05:18.120Z,40.2976667,-124.5028333,19.97,2.96,md,30,261,0.1229,0.12,nc,nc73227481,2019-10-04T16:37:14.040Z,"19km W of Petrolia, CA",earthquake,1.06,0.32,0.146,62,reviewed,nc,nc
2019-07-13T00:24:41.410Z,41.7448333,-125.598,22.44,2.92,md,35,253,1.125,0.29,nc,nc73221346,2019-09-28T20:00:35.040Z,"114km WSW of Brookings, OR",earthquake,2.13,12.08,0.118,24,reviewed,nc,nc
